"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähköntuotantoennuste - päivittyvä tuntienergiatieto"
"2021-01-08 04:00:00","2021-01-08 05:00:00","2021-01-08 06:00:00","2021-01-08 07:00:00","8265.891649"
"2021-01-08 05:00:00","2021-01-08 06:00:00","2021-01-08 07:00:00","2021-01-08 08:00:00","8633.961986"
"2021-01-08 06:00:00","2021-01-08 07:00:00","2021-01-08 08:00:00","2021-01-08 09:00:00","9098.745503"
"2021-01-08 07:00:00","2021-01-08 08:00:00","2021-01-08 09:00:00","2021-01-08 10:00:00","9460.411492"
"2021-01-08 08:00:00","2021-01-08 09:00:00","2021-01-08 10:00:00","2021-01-08 11:00:00","9513.613305"
"2021-01-08 09:00:00","2021-01-08 10:00:00","2021-01-08 11:00:00","2021-01-08 12:00:00","9382.716085"
"2021-01-08 10:00:00","2021-01-08 11:00:00","2021-01-08 12:00:00","2021-01-08 13:00:00","9343.584563"
"2021-01-08 11:00:00","2021-01-08 12:00:00","2021-01-08 13:00:00","2021-01-08 14:00:00","9231.700201"
"2021-01-08 12:00:00","2021-01-08 13:00:00","2021-01-08 14:00:00","2021-01-08 15:00:00","9216.055844"
"2021-01-08 13:00:00","2021-01-08 14:00:00","2021-01-08 15:00:00","2021-01-08 16:00:00","9088.1707"
"2021-01-08 14:00:00","2021-01-08 15:00:00","2021-01-08 16:00:00","2021-01-08 17:00:00","9203.141763"
"2021-01-08 15:00:00","2021-01-08 16:00:00","2021-01-08 17:00:00","2021-01-08 18:00:00","9351.298095"
"2021-01-08 16:00:00","2021-01-08 17:00:00","2021-01-08 18:00:00","2021-01-08 19:00:00","9439.318427"
"2021-01-08 17:00:00","2021-01-08 18:00:00","2021-01-08 19:00:00","2021-01-08 20:00:00","9357.823867"
"2021-01-08 18:00:00","2021-01-08 19:00:00","2021-01-08 20:00:00","2021-01-08 21:00:00","9232.976547"
"2021-01-08 19:00:00","2021-01-08 20:00:00","2021-01-08 21:00:00","2021-01-08 22:00:00","8970.372326"
"2021-01-08 20:00:00","2021-01-08 21:00:00","2021-01-08 22:00:00","2021-01-08 23:00:00","8756.84221"
"2021-01-08 21:00:00","2021-01-08 22:00:00","2021-01-08 23:00:00","2021-01-09 00:00:00","8355.002626"
"2021-01-08 22:00:00","2021-01-08 23:00:00","2021-01-09 00:00:00","2021-01-09 01:00:00","8074.429598"
"2021-01-08 23:00:00","2021-01-09 00:00:00","2021-01-09 01:00:00","2021-01-09 02:00:00","8018.243521"
"2021-01-09 00:00:00","2021-01-09 01:00:00","2021-01-09 02:00:00","2021-01-09 03:00:00","8034.518915"
"2021-01-09 01:00:00","2021-01-09 02:00:00","2021-01-09 03:00:00","2021-01-09 04:00:00","7949.57197"
"2021-01-09 02:00:00","2021-01-09 03:00:00","2021-01-09 04:00:00","2021-01-09 05:00:00","7918.570046"
"2021-01-09 03:00:00","2021-01-09 04:00:00","2021-01-09 05:00:00","2021-01-09 06:00:00","7963.423751"
"2021-01-09 04:00:00","2021-01-09 05:00:00","2021-01-09 06:00:00","2021-01-09 07:00:00","8059.731528"
"2021-01-09 05:00:00","2021-01-09 06:00:00","2021-01-09 07:00:00","2021-01-09 08:00:00","8323.856251"
"2021-01-09 06:00:00","2021-01-09 07:00:00","2021-01-09 08:00:00","2021-01-09 09:00:00","8556.673551"
"2021-01-09 07:00:00","2021-01-09 08:00:00","2021-01-09 09:00:00","2021-01-09 10:00:00","8902.599154"
"2021-01-09 08:00:00","2021-01-09 09:00:00","2021-01-09 10:00:00","2021-01-09 11:00:00","9229.05047"
"2021-01-09 09:00:00","2021-01-09 10:00:00","2021-01-09 11:00:00","2021-01-09 12:00:00","9279.039162"
"2021-01-09 10:00:00","2021-01-09 11:00:00","2021-01-09 12:00:00","2021-01-09 13:00:00","9226.399341"
"2021-01-09 11:00:00","2021-01-09 12:00:00","2021-01-09 13:00:00","2021-01-09 14:00:00","9222.824932"
"2021-01-09 12:00:00","2021-01-09 13:00:00","2021-01-09 14:00:00","2021-01-09 15:00:00","9175.605082"
"2021-01-09 13:00:00","2021-01-09 14:00:00","2021-01-09 15:00:00","2021-01-09 16:00:00","9153.102442"
"2021-01-09 14:00:00","2021-01-09 15:00:00","2021-01-09 16:00:00","2021-01-09 17:00:00","9201.283931"
"2021-01-09 15:00:00","2021-01-09 16:00:00","2021-01-09 17:00:00","2021-01-09 18:00:00","9461.901362"
"2021-01-09 16:00:00","2021-01-09 17:00:00","2021-01-09 18:00:00","2021-01-09 19:00:00","9630.4947"
"2021-01-09 17:00:00","2021-01-09 18:00:00","2021-01-09 19:00:00","2021-01-09 20:00:00","9653.879896"
"2021-01-09 18:00:00","2021-01-09 19:00:00","2021-01-09 20:00:00","2021-01-09 21:00:00","9544.423432"
"2021-01-09 19:00:00","2021-01-09 20:00:00","2021-01-09 21:00:00","2021-01-09 22:00:00","9206.811313"
"2021-01-09 20:00:00","2021-01-09 21:00:00","2021-01-09 22:00:00","2021-01-09 23:00:00","8972.477833"
"2021-01-09 21:00:00","2021-01-09 22:00:00","2021-01-09 23:00:00","2021-01-10 00:00:00","8996.359411"
"2021-01-09 22:00:00","2021-01-09 23:00:00","2021-01-10 00:00:00","2021-01-10 01:00:00","8790.343701"
"2021-01-09 23:00:00","2021-01-10 00:00:00","2021-01-10 01:00:00","2021-01-10 02:00:00","8841.034532"
"2021-01-10 00:00:00","2021-01-10 01:00:00","2021-01-10 02:00:00","2021-01-10 03:00:00","8940.845117"
"2021-01-10 01:00:00","2021-01-10 02:00:00","2021-01-10 03:00:00","2021-01-10 04:00:00","8910.184998"
"2021-01-10 02:00:00","2021-01-10 03:00:00","2021-01-10 04:00:00","2021-01-10 05:00:00","8886.530455"
"2021-01-10 03:00:00","2021-01-10 04:00:00","2021-01-10 05:00:00","2021-01-10 06:00:00","8869.290505"
"2021-01-10 04:00:00","2021-01-10 05:00:00","2021-01-10 06:00:00","2021-01-10 07:00:00","9040.423746"
"2021-01-10 05:00:00","2021-01-10 06:00:00","2021-01-10 07:00:00","2021-01-10 08:00:00","9374.729933"
"2021-01-10 06:00:00","2021-01-10 07:00:00","2021-01-10 08:00:00","2021-01-10 09:00:00","9577.45072"
"2021-01-10 07:00:00","2021-01-10 08:00:00","2021-01-10 09:00:00","2021-01-10 10:00:00","9703.360745"
